company,product,idea,industry,specialties,status,rating,published,article_url,latest_news_date,latest_news,notes
Lifebit,Lifebit,Federated infrastructure for national-scale genomic and health data.,Pharma & Life Sciences,Genetics & Genomics; Drug Development,One to watch,3.9,2026-05-28,review.html?id=lifebit,,,
Limber Health,Limber Health,Digital MSK that partners with clinics rather than bypassing them.,Medical Devices & MedTech,Mental & Behavioral Health; Pharmacy,One to watch,3.6,2026-05-25,review.html?id=limber-health,,,
Limbic,Limbic,Clinical-grade AI triage that expanded access across NHS talking therapies.,Mental & Behavioral Health,Emergency Medicine; Mental & Behavioral Health,Already AI,4.2,2026-06-20,review.html?id=limbic,,,
Lindus Health,Lindus Health,An anti-CRO: running whole trials on one AI-native platform.,Pharma & Life Sciences,Drug Development,One to watch,4.1,2026-04-22,review.html?id=lindus-health,,,
LookDeep Health,LookDeep Health,Continuous AI patient observation replacing one-to-one sitters.,Hospitals & Health Systems,Nursing; Geriatrics & Senior Care,One to watch,3.7,2026-04-12,review.html?id=lookdeep-health,,,
Luma,Luma Health,"Patient success platform: scheduling, reminders, and now AI concierges.",Primary & Ambulatory Care,Primary Care,Already AI,4.1,2026-07-02,review.html?id=luma-health,,,
Lumeon,Lumeon,Care orchestration that automates the coordination between visits.,Hospitals & Health Systems,Dentistry; Surgery; Nursing; Genetics & Genomics; Health Administration,One to watch,3.9,2026-04-17,review.html?id=lumeon,,,
Lunit,Lunit INSIGHT & SCOPE,Cancer-focused imaging AI with unusually strong peer-reviewed evidence.,Diagnostics & Imaging,Radiology; Pathology; Oncology,Already AI,4.5,2026-05-28,review.html?id=lunit,,,
Lyra Health,Lyra Health,Employer mental-health benefits with data-driven care matching.,Mental & Behavioral Health,Mental & Behavioral Health,Already AI,4.1,2026-04-25,review.html?id=lyra-health,,,
Lyssn,Lyssn,AI quality measurement for behavioral-health conversations.,Mental & Behavioral Health,Mental & Behavioral Health,Already AI,3.8,2026-05-13,review.html?id=lyssn,,,
Machinify,Machinify,The consolidated AI payment-integrity platform for payers.,Payers & Health Insurance,Health Administration,Already AI,4,2026-07-12,review.html?id=machinify,,,
Medalogix,Medalogix,Predictive analytics steering home-health visits and hospice timing.,Senior Care & Post-Acute,Geriatrics & Senior Care,Already AI,4.2,2026-04-12,review.html?id=medalogix,,,
MedAware,MedAware,Catching the prescription errors rule-based systems were never built to see.,Pharmacy & Medication Management,Pharmacy; Public Health,Already AI,4.2,2026-08-01,review.html?id=medaware,,,
Medidata (Dassault Systèmes),Medidata AI,Intelligence built on the industry's largest trial-data backbone.,Pharma & Life Sciences,Drug Development,Already AI,4.1,2026-08-12,review.html?id=medidata-ai,,,
Mediktor,Mediktor,Spanish-built symptom assessment with peer-reviewed accuracy studies.,Primary & Ambulatory Care,Emergency Medicine; Primary Care; Health Administration,One to watch,3.9,2026-08-09,review.html?id=mediktor,,,
Medtronic,Hugo RAS,"The credible challenger, modular robotics plus the Touch Surgery data stack.",Medical Devices & MedTech,Dentistry; Surgery,Already AI,4,2026-05-02,review.html?id=medtronic-hugo,,,
Memora Health,Memora Health,AI-guided care navigation over everyday text messaging.,Primary & Ambulatory Care,Emergency Medicine; Primary Care,Already AI,3.8,2026-06-17,review.html?id=memora-health,,,
Meru Health,Meru Health,A measurement-based online program for depression and anxiety.,Mental & Behavioral Health,Mental & Behavioral Health,Already AI,3.8,2026-04-09,review.html?id=meru-health,,,
Microsoft (Nuance),Microsoft Dragon Copilot,"Dictation king + ambient AI, fused into one clinical assistant.",Healthcare Administration & Revenue Cycle,Endocrinology & Diabetes; Health Administration,Already AI,4.4,2026-03-22,review.html?id=dragon-copilot,,,
Mindpeak,Mindpeak,"Robust IHC scoring that works across scanners, stains, and labs.",Diagnostics & Imaging,Radiology; Pathology; Oncology; Mental & Behavioral Health,One to watch,4,2026-05-05,review.html?id=mindpeak,,,
Modella AI,Modella AI,"Multimodal generative AI for pathology, from the lab that defined the field.",Diagnostics & Imaging,Radiology; Pathology,One to watch,3.8,2026-03-23,review.html?id=modella-ai,,,
Moon Surgical,Maestro,"Collaborative robotics for laparoscopy, with ScoPilot AI hands-free control.",Medical Devices & MedTech,Surgery; Nursing; Health Administration,Already AI,4.1,2026-05-27,review.html?id=moon-surgical-maestro,,,
Nabla,Nabla,"Lightweight, fast, clinician-loved ambient AI, without enterprise drag.",Healthcare Administration & Revenue Cycle,Health Administration,Already AI,4.3,2026-03-30,review.html?id=nabla,,,
Nabla Bio,Nabla Bio,Computational design of antibodies against the hardest targets.,Pharma & Life Sciences,Drug Development,One to watch,3.9,2026-04-22,review.html?id=nabla-bio,,,
Nanox.AI,Nanox.AI,Population-health imaging AI that flags silent disease.,Diagnostics & Imaging,Radiology; Cardiology; Public Health,Already AI,3.9,2026-07-15,review.html?id=nanox-ai,,,
Navina,Navina,The primary-care copilot that reads the chart so you don't have to.,Primary & Ambulatory Care,Primary Care; Health Administration,Already AI,4.4,2026-04-29,review.html?id=navina,,,
Nimble,Nimble,Modern pharmacy commerce and automation for independents.,Pharmacy & Medication Management,Pharmacy; Health Administration,One to watch,3.5,2026-04-22,review.html?id=nimble-rx,,,
Notable,Notable,An AI workforce for the front and back office of care.,Primary & Ambulatory Care,Primary Care,Already AI,4.3,2026-04-30,review.html?id=notable,,,
Nym Health,Nym,"Autonomous coding you can audit, computational linguistics, not black box.",Healthcare Administration & Revenue Cycle,Radiology; Health Administration,Already AI,4.4,2026-07-12,review.html?id=nym-health,,,
Omnicell,Omnicell IntelliSight,The medication-automation giant adding vision AI and intelligence services.,Pharmacy & Medication Management,Surgery; Pharmacy; Health Administration,Already AI,3.9,2026-06-29,review.html?id=omnicell,,,
OpenEvidence,OpenEvidence,The AI medical search engine clinicians actually adopted.,Primary & Ambulatory Care,Primary Care,Already AI,4.6,2026-04-22,review.html?id=openevidence,,,
Oura Health,Oura Ring 4,The consumer recovery-and-readiness ring creeping into clinical relevance.,Medical Devices & MedTech,Endocrinology & Diabetes; Pharmacy,Already AI,4.1,2026-04-19,review.html?id=oura-ring,,,
Overjet,Overjet,The FDA-cleared dental AI both dentists and insurers run.,Dental,Dentistry; Health Administration,Already AI,4.5,2026-04-25,review.html?id=overjet,,,
Owkin,Owkin,"Federated AI across hospitals, models travel, patient data stays put.",Pharma & Life Sciences,Pathology; Oncology; Drug Development,One to watch,4.1,2026-03-15,review.html?id=owkin,,,
Paige AI,Paige,"The first FDA-authorized AI in pathology, now building foundation models.",Diagnostics & Imaging,Radiology; Pathology; Oncology,Already AI,4.4,2026-07-07,review.html?id=paige,,,
Parakeet Health,Parakeet Health,Voice AI agents covering patient calls around the clock.,Primary & Ambulatory Care,Emergency Medicine; Primary Care,One to watch,3.6,2026-04-19,review.html?id=parakeet-health,,,
PathAI,PathAI,Pathology AI powering biopharma trials and clinical labs alike.,Diagnostics & Imaging,Radiology; Pathology; Oncology; Emergency Medicine; Pharmacy; Gastroenterology; Drug Development,Already AI,4.2,2026-03-30,review.html?id=pathai,,,
Pearl,Pearl,Second Opinion: the most globally cleared chairside dental AI.,Dental,Radiology; Dentistry,Already AI,4.3,2026-04-01,review.html?id=pearl,,,
Pearl Health,Pearl Health,Risk-bearing analytics that make independent primary care viable.,Primary & Ambulatory Care,Primary Care; Health Administration,One to watch,3.9,2026-08-07,review.html?id=pearl-health,,,
Perspectum,Perspectum,Quantitative MRI of the liver and other organs.,Diagnostics & Imaging,Radiology; Oncology; Gastroenterology,Already AI,4,2026-05-15,review.html?id=perspectum,,,
Philips (Cardiologs),Cardiologs,ECG analysis AI for arrhythmia detection at scale.,Diagnostics & Imaging,Radiology; Cardiology; Primary Care,Already AI,4.1,2026-03-20,review.html?id=cardiologs,,,
Pramana,Pramana,AI-native scanning that fixes digitisation before analysis begins.,Diagnostics & Imaging,Radiology; Pathology; Emergency Medicine,One to watch,3.9,2026-08-04,review.html?id=pramana,,,
Prenosis,Prenosis,FDA-cleared sepsis risk from an immune-plus-EHR score.,Hospitals & Health Systems,Oncology; Critical Care,One to watch,3.9,2026-04-22,review.html?id=prenosis,,,
Proprio,Proprio,Light-field imaging that gives surgeons real-time 3D navigation.,Hospitals & Health Systems,Radiology; Dentistry; Surgery,One to watch,3.9,2026-07-02,review.html?id=proprio,,,
Proscia,Proscia Concentriq,The digital pathology operating layer that AI plugs into.,Diagnostics & Imaging,Radiology; Pathology,Already AI,4,2026-03-18,review.html?id=proscia,,,
Quibim,Quibim,"Quantitative imaging biomarkers, from whole-body MRI to prostate.",Diagnostics & Imaging,Radiology; Oncology; Drug Development,One to watch,4,2026-06-12,review.html?id=quibim,,,
Qure.ai,Qure.ai,"Imaging AI at global-health scale, from TB screening to stroke.",Diagnostics & Imaging,Radiology; Cardiology; Neurology; Emergency Medicine; Pulmonology; Public Health,Already AI,4.4,2026-03-17,review.html?id=qure-ai,,,
Qventus,Qventus,AI that runs the daily operations of the hospital floor.,Hospitals & Health Systems,Surgery; Health Administration,Already AI,4.2,2026-04-14,review.html?id=qventus-ops,,,
R1 RCM (with Palantir),R1 + R37 AI Lab,The biggest RCM outsourcer rebuilding itself around AI.,Healthcare Administration & Revenue Cycle,Health Administration,One to watch,3.9,2026-04-12,review.html?id=r1-r37,,,
Rad AI,Rad AI,Generative AI for the radiology report itself.,Diagnostics & Imaging,Radiology; Health Administration,Already AI,4.5,2026-04-27,review.html?id=rad-ai,,,
RapidAI,RapidAI,Time-critical stroke and vascular imaging AI.,Diagnostics & Imaging,Radiology; Cardiology; Neurology; Emergency Medicine,Already AI,4.3,2026-05-07,review.html?id=rapidai,,,
Recursion (merged with Exscientia),Recursion,Industrialized biology: mapping cell responses at petabyte scale.,Pharma & Life Sciences,Radiology; Drug Development,Already AI,4.1,2026-05-23,review.html?id=recursion,,,
Regard,Regard,The diagnosis co-pilot that pre-rounds the chart for hospitalists.,Healthcare Administration & Revenue Cycle,Pathology; Health Administration,Already AI,4.1,2026-04-17,review.html?id=regard,,,
Retia Medical,Retia Medical,Continuous cardiac output monitoring that tolerates messy waveforms.,Hospitals & Health Systems,Cardiology; Mental & Behavioral Health; Dentistry; Surgery,One to watch,3.7,2026-05-20,review.html?id=retia-medical,,,
Reveleer,Reveleer,"One AI platform for risk, quality, and member insights.",Payers & Health Insurance,Health Administration,Already AI,4,2026-04-27,review.html?id=reveleer,,,
Rhino Health,Rhino Health,Federated computing to build medical AI without moving data.,Pharma & Life Sciences,Drug Development,One to watch,3.8,2026-06-20,review.html?id=rhino-health,,,
Rialtic,Rialtic,Transparent payment-integrity policy that both sides can inspect.,Payers & Health Insurance,Health Administration,One to watch,3.8,2026-06-12,review.html?id=rialtic,,,
Riverain Technologies,Riverain Technologies,Chest imaging AI that clears the view to catch lung disease.,Diagnostics & Imaging,Radiology; Pulmonology,Already AI,3.9,2026-04-25,review.html?id=riverain,,,
Saama,Saama,"LLM-accelerated clinical data review, proven on pandemic-speed trials.",Pharma & Life Sciences,Pharmacy; Drug Development,Already AI,4,2026-03-27,review.html?id=saama,,,
SafelyYou,SafelyYou,"Fall intelligence for memory care, seeing the falls nobody witnesses.",Senior Care & Post-Acute,Geriatrics & Senior Care,Already AI,4.3,2026-05-09,review.html?id=safelyyou,,,
Schrödinger,Schrödinger,Physics-based computational platform for drug and materials discovery.,Pharma & Life Sciences,Pharmacy; Drug Development,Already AI,4.1,2026-06-02,review.html?id=schrodinger,,,
Sensi,Sensi.AI,Audio intelligence auditing 24/7 what home care actually delivers.,Senior Care & Post-Acute,Geriatrics & Senior Care; Health Administration,Already AI,4.1,2026-08-09,review.html?id=sensi-ai,,,
SeqOne,SeqOne Genomics,Clinical-grade genomic interpretation for European hospital labs.,Diagnostics & Imaging,Radiology; Oncology; Genetics & Genomics,One to watch,3.9,2026-04-12,review.html?id=seqone,,,
Shift,Shift Technology,"Global insurance-fraud AI, applied to health claims.",Payers & Health Insurance,Health Administration,Already AI,3.9,2026-08-02,review.html?id=shift-technology,,,
Sirona Medical,Sirona Medical,"Rebuilding the radiology workstation itself, AI-native from the start.",Diagnostics & Imaging,Radiology,One to watch,3.9,2026-04-14,review.html?id=sirona-medical,,,
Skin Analytics,Skin Analytics,Autonomous skin-cancer triage cleared to rule out without a dermatologist.,Diagnostics & Imaging,Radiology; Oncology; Emergency Medicine; Dermatology,One to watch,4.4,2026-06-09,review.html?id=skin-analytics,,,
Slingshot AI,Ash,The first foundation model built specifically for therapy conversations.,Mental & Behavioral Health,Mental & Behavioral Health,Already AI,3.9,2026-06-25,review.html?id=slingshot-ash,,,
SmarterDx,SmarterDx,A clinical AI second look at every chart before the bill goes out.,Healthcare Administration & Revenue Cycle,Health Administration,One to watch,4.1,2026-07-05,review.html?id=smarterdx,,,
Sonio,Sonio,Prenatal ultrasound AI that checks the exam is complete before it ends.,Medical Devices & MedTech,Radiology,One to watch,3.9,2026-03-17,review.html?id=sonio,,,
SOPHiA GENETICS,SOPHiA GENETICS,Decentralized genomic analysis for 800+ hospitals worldwide.,Diagnostics & Imaging,Radiology; Oncology; Genetics & Genomics,Already AI,4.1,2026-06-27,review.html?id=sophia-genetics,,,
Spring Health,Spring Health,"Precision mental health for employers, ML-matched care that proves ROI.",Mental & Behavioral Health,Mental & Behavioral Health; Health Administration,Already AI,4.2,2026-05-13,review.html?id=spring-health,,,
Subtle Medical,Subtle Medical,"AI that sharpens MRI and PET for faster, lower-dose scans.",Diagnostics & Imaging,Radiology,Already AI,4,2026-07-25,review.html?id=subtle-medical,,,
Suki AI,Suki,"The voice assistant approach, ambient notes plus commands, broadly integrated.",Healthcare Administration & Revenue Cycle,Health Administration,Already AI,4.2,2026-07-25,review.html?id=suki,,,
Sword,Sword Health,AI Care built for MSK: computer-vision PT plus an LLM care copilot (Phoenix).,Medical Devices & MedTech,Mental & Behavioral Health; Surgery,Already AI,4.3,2026-05-05,review.html?id=sword-health,,,
Tempus AI,Tempus,"The multimodal data machine: sequencing, algorithms, and trial matching.",Diagnostics & Imaging,Radiology; Cardiology; Oncology; Genetics & Genomics,Already AI,4.4,2026-06-06,review.html?id=tempus,,,
Teton.ai,Teton,Danish ambient AI that documents nursing care as it happens.,Hospitals & Health Systems,Nursing; Geriatrics & Senior Care; Health Administration,One to watch,3.9,2026-05-25,review.html?id=teton-ai,,,
Thirona,Thirona,"Quantitative lung imaging for COPD, screening, and interventional planning.",Diagnostics & Imaging,Radiology; Oncology; Ophthalmology; Pulmonology,One to watch,3.8,2026-06-05,review.html?id=thirona,,,
Thoughtful AI,Thoughtful AI,Pre-built revenue-cycle agents you hire rather than configure.,Healthcare Administration & Revenue Cycle,Health Administration,One to watch,3.7,2026-05-18,review.html?id=thoughtful-ai,,,
Tortus,Tortus,"A UK clinician copilot that operates the EHR, not just the note.",Healthcare Administration & Revenue Cycle,Health Administration,One to watch,3.9,2026-04-20,review.html?id=tortus,,,
Triomics,Triomics,LLMs that read oncology charts and find the trial that fits.,Pharma & Life Sciences,Oncology; Genetics & Genomics; Drug Development,One to watch,3.9,2026-08-12,review.html?id=triomics,,,
Truveta,Truveta,"30+ health systems, one AI-normalized real-world dataset.",Pharma & Life Sciences,Genetics & Genomics; Public Health; Drug Development,Already AI,4.3,2026-06-12,review.html?id=truveta,,,
Ultromics,Ultromics EchoGo,"Echo AI that detects what humans can't, including HFpEF and amyloidosis.",Diagnostics & Imaging,Radiology; Cardiology,Already AI,4.3,2026-06-07,review.html?id=ultromics,,,
Unlearn,Unlearn.AI,Digital twins that let trials randomize fewer patients to placebo.,Pharma & Life Sciences,Neurology; Drug Development,Already AI,4.2,2026-06-22,review.html?id=unlearn-ai,,,
Us2.ai,Us2.ai,Fully automated echocardiography measurement and reporting.,Diagnostics & Imaging,Radiology; Cardiology,Already AI,4.2,2026-07-20,review.html?id=us2-ai,,,
Valar Labs,Valar Labs,AI biomarkers from pathology to guide cancer treatment.,Diagnostics & Imaging,Radiology; Pathology; Oncology,One to watch,3.8,2026-04-04,review.html?id=valar-labs,,,
Verantos,Verantos,High-validity RWE that checks whether the data actually says what codes claim.,Pharma & Life Sciences,Health Administration; Drug Development,One to watch,3.9,2026-07-05,review.html?id=verantos,,,
Vesta Healthcare,Vesta Healthcare,Wiring home aides into the clinical team that never hears from them.,Senior Care & Post-Acute,Critical Care; Geriatrics & Senior Care,One to watch,3.7,2026-04-15,review.html?id=vesta-healthcare,,,
VideaHealth,VideaHealth,MIT-born dental AI scaling through the biggest DSO partnerships.,Dental,Dentistry,Already AI,4.1,2026-05-25,review.html?id=videahealth,,,
Videra Health,Videra Health,Video assessments analysed for what patients say and how they say it.,Mental & Behavioral Health,Mental & Behavioral Health; Critical Care,One to watch,3.6,2026-08-07,review.html?id=videra-health,,,
Virtual Incision,Virtual Incision MIRA,"A two-pound robot that goes inside the abdomen, and has been to orbit.",Medical Devices & MedTech,Surgery; Gastroenterology,One to watch,3.7,2026-06-27,review.html?id=virtual-incision,,,
Viz.ai,Viz.ai,"The stroke-alerting pioneer, now a care-coordination platform.",Diagnostics & Imaging,Radiology; Pathology; Cardiology; Neurology; Emergency Medicine,Already AI,4.6,2026-05-30,review.html?id=viz-ai,,,
Waystar,Waystar AltitudeAI,AI woven through a clearinghouse touching half of US patients.,Healthcare Administration & Revenue Cycle,Health Administration,Already AI,4.1,2026-08-07,review.html?id=waystar-altitudeai,,,
Weave Bio,Weave Bio,AI that assembles regulatory submissions from the underlying study data.,Pharma & Life Sciences,Pharmacy; Drug Development,One to watch,3.6,2026-07-02,review.html?id=weave-bio,,,
WellSky,WellSky,The post-acute platform giant embedding AI across care transitions.,Senior Care & Post-Acute,Geriatrics & Senior Care; Health Administration,Already AI,3.9,2026-04-10,review.html?id=wellsky,,,
Woebot Health,Woebot Health,A CBT-based mental-health chatbot with a clinical evidence base.,Mental & Behavioral Health,Mental & Behavioral Health,Already AI,3.7,2026-06-27,review.html?id=woebot-health,,,
Wysa,Wysa,The evidence-heavy AI mental-health companion used by 6M+ people.,Mental & Behavioral Health,Mental & Behavioral Health,Already AI,4.3,2026-07-18,product.html?id=mindbridge,,,
XtalPi,XtalPi,Quantum-physics and AI for drug and materials R&D.,Pharma & Life Sciences,Surgery; Pharmacy; Drug Development,Already AI,3.9,2026-07-10,review.html?id=xtalpi,,,
Yseop,Yseop,Generative regulatory and medical writing built for GxP validation.,Pharma & Life Sciences,Pharmacy; Health Administration; Drug Development,One to watch,3.8,2026-05-07,review.html?id=yseop,,,
